title,gender,country,taxType,taxInvestigationCover,isVatInvoiceRequired,isStatementRequired,businessType,contactType,recurring_fees,non_recurring_fees,number_of_associations,met_face_to_face,visited_business_address,is_uk_resident,is_uk_national,known_to_partner,reputable_referral,plausible_wealth_level,identity_verified,evidence_recorded,client_honest_assessment,wealth_plausible,adverse_records,beneficial_owners_verified,other_identity_concerns,risk_score,risk_label
Dr,Prefer not to say,United Kingdom,Company,yes,no,no,Partnership,Both,43179.45,10010.55,6,no,no,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,80.96,High
Mr,Male,Pakistan,Individual,no,yes,yes,Limited Company,Both,48792.06,1987.23,8,yes,yes,no,yes,no,no,yes,no,no,yes,no,yes,no,no,100.0,High
Ms,Male,United Kingdom,Company,yes,no,yes,Sole Trader,Both,44253.77,8234.35,2,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,81.36,High
Dr,Prefer not to say,United States,Company,no,yes,no,Sole Trader,Secondary,34520.35,2230.74,0,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,50.08,Medium
Mrs,Prefer not to say,United Kingdom,Partnership,yes,yes,yes,Sole Trader,Secondary,21548.22,3463.59,10,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,yes,82.39,High
Mrs,Female,United Kingdom,Partnership,no,yes,yes,LLP,Both,42388.12,10597.95,2,no,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,95.44,High
Ms,Other,United Kingdom,Company,yes,yes,yes,LLP,Both,11199.8,24073.63,5,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,94.42,High
Ms,Prefer not to say,United Kingdom,Company,no,no,no,Sole Trader,Primary,49668.69,9551.06,5,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,71.02,High
Ms,Other,Germany,Individual,no,yes,yes,Charity,Both,6796.69,14258.93,1,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,no,74.38,High
Prof,Other,Mexico,Company,yes,yes,yes,Sole Trader,Both,18989.62,2173.52,6,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,51.37,Medium
Mr,Prefer not to say,United Kingdom,Company,yes,no,yes,Charity,Primary,18170.69,13136.2,5,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,85.21,High
Prof,Male,Germany,Trust,no,yes,no,Sole Trader,Secondary,4339.53,21777.94,3,yes,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,90.94,High
Ms,Prefer not to say,United States,Partnership,no,no,no,Limited Company,Secondary,31633.55,18107.56,0,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,100.0,High
Dr,Female,France,Partnership,yes,yes,no,Charity,Both,30502.8,18081.91,5,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,88.02,High
Ms,Other,United Kingdom,Partnership,yes,no,yes,Charity,Both,36663.28,20867.74,3,no,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,100.0,High
Ms,Male,North Korea,Trust,yes,yes,no,LLP,Both,22397.13,10856.21,10,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,89.18,High
Prof,Other,United Kingdom,Partnership,yes,no,no,Charity,Secondary,10645.58,3289.51,3,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,no,52.51,Medium
Mrs,Female,United Kingdom,Partnership,yes,yes,no,Partnership,Secondary,48462.25,8053.75,8,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,84.01,High
Ms,Female,United Kingdom,Trust,no,yes,yes,Partnership,Primary,35079.73,1990.96,8,no,no,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,97.35,High
Dr,Other,United Kingdom,Trust,yes,no,no,LLP,Secondary,36967.45,23920.15,2,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,100.0,High
Dr,Female,Germany,Trust,no,yes,yes,Limited Company,Both,48016.79,24494.72,5,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,yes,100.0,High
Dr,Male,Pakistan,Individual,no,no,no,Limited Company,Both,44501.01,11838.9,7,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,100.0,High
Prof,Female,China,Trust,yes,no,no,Limited Company,Secondary,47534.77,2335.2,3,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,100.0,High
